name,country,matches,innings,no,runs,highest,average,balls,strikerate,hunderd,fifty,duck,year
KC Sangakkara,SL,27,25,3,1127,111,51.22,1537,73.32,1,9,0,2011
G Gambhir,INDIA,27,27,3,1119,113,46.62,1236,90.53,3,7,1,2008
TM Dilshan,SL,31,30,3,1119,160*,41.44,1322,84.64,4,3,3,2012
GW Flower,ZIM,33,33,3,1116,142*,37.2,1475,75.66,2,5,3,2001
SC Ganguly,INDIA,32,30,1,1114,117*,38.41,1347,82.7,1,9,2,2002
Inzamam-ul-Haq,PAK,29,28,4,1106,107,46.08,1571,70.4,1,10,1,1999
M Azharuddin,INDIA,36,32,5,1104,111*,40.88,1550,71.22,1,9,0,1997
Ijaz Ahmed,PAK,31,31,2,1104,139*,38.06,1451,76.08,1,8,2,1997
MS Dhoni,INDIA,37,33,8,1103,139*,44.12,1231,89.6,1,7,3,2007
AC Gilchrist,AUS,31,30,1,1098,111,37.86,1083,101.38,1,8,0,2003
GJ Bailey,AUS,22,20,3,1098,156,64.58,1098,100,2,8,1,2013
CH Gayle,WI,23,22,0,1097,140,49.86,1238,88.61,3,7,0,2002
MS Dhoni,INDIA,29,26,7,1097,109*,57.73,1333,82.29,1,8,0,2008
R Dravid,INDIA,30,30,7,1092,104,47.47,1463,74.64,2,9,2,2005
Aamer Sohail,PAK,30,30,1,1090,111,37.58,1664,65.5,2,7,2,1996
SR Tendulkar,INDIA,25,25,2,1089,115,47.34,1229,88.6,3,9,3,1994
DPMD Jayawardene,SL,32,31,2,1089,115*,37.55,1322,82.37,2,8,4,2007
H Masakadza,ZIM,27,27,2,1087,178*,43.48,1234,88.08,3,5,2,2009
MS Atapattu,SL,33,33,5,1084,92,38.71,1646,65.85,0,10,2,2001
SV Carlisle,ZIM,36,36,2,1082,119,31.82,1673,64.67,1,4,3,2001
IR Bell,ENG,33,33,1,1080,126*,33.75,1490,72.48,1,6,2,2007
GC Smith,SA,26,25,2,1079,96,46.91,1171,92.14,0,12,3,2007
ST Jayasuriya,SL,31,31,1,1077,112,35.9,1174,91.73,2,4,2,2002
Mohammad Hafeez,PAK,32,32,3,1075,139*,37.06,1408,76.34,3,5,3,2011
Inzamam-ul-Haq,PAK,34,32,7,1074,121*,42.96,1589,67.58,1,9,2,2000
DC Boon,AUS,26,26,3,1073,98*,46.65,1742,61.59,0,9,0,1994
RG Twose,NZ,25,22,3,1067,103,56.15,1298,82.2,1,9,1,2000
JN Rhodes,SA,33,30,8,1066,107*,48.45,1224,87.09,1,9,4,2002
PD Collingwood,ENG,33,32,6,1064,120*,40.92,1374,77.43,2,5,2,2007
WU Tharanga,SL,26,24,0,1062,120,44.25,1349,78.72,5,4,2,2006
HM Amla,SA,23,23,2,1062,159,50.57,1119,94.9,4,3,0,2015
A Flower,ZIM,33,33,3,1060,142*,35.33,1301,81.47,1,7,1,2001
ME Waugh,AUS,25,25,2,1059,130,46.04,1381,76.68,4,5,2,1996
HM Amla,SA,15,15,1,1058,129,75.57,1015,104.23,5,4,0,2010
V Kohli,INDIA,21,20,2,1054,139*,58.55,1058,99.62,4,5,1,2014
Aamer Sohail,PAK,28,28,1,1053,134,39,1451,72.57,2,6,1,1994
LRPL Taylor,NZ,27,25,7,1046,119*,58.11,1281,81.65,4,4,1,2015
Mohammad Yousuf,PAK,24,24,4,1042,117,52.1,1341,77.7,2,9,0,2007
RT Ponting,AUS,32,32,6,1038,87*,39.92,1539,67.44,0,5,1,1999
ML Hayden,AUS,32,31,5,1037,88,39.88,1316,78.79,0,5,1,2003
DJ Cullinan,SA,24,24,6,1034,124,57.44,1362,75.91,3,5,1,1996
Shahriar Nafees,BDESH,28,28,3,1033,123*,41.32,1468,70.36,3,4,4,2006
DPMD Jayawardene,SL,27,24,2,1032,144,46.9,1249,82.62,3,7,0,2011
RG Sharma,INDIA,19,19,5,1030,162,73.57,1029,100.09,5,3,1,2018
V Kohli,INDIA,17,17,2,1026,183,68.4,1094,93.78,5,3,1,2012
