COMMODITY,UNIT_CODE,COUNTRY,QTY,VALUE
OTHER COMMODITIES,NA,UNSPECIFIED,NA,270.889542
OTHER COMMODITIES,NA,KENYA,NA,17.159452
OTHER COMMODITIES,NA,TANZANIA REP,NA,8.896539
OTHER COMMODITIES,NA,UGANDA,NA,5.181412
OTHER COMMODITIES,NA,BENIN,NA,2.476015
OTHER COMMODITIES,NA,BURKINA FASO,NA,0.452
OTHER COMMODITIES,NA,CAMEROON,NA,0.448168
OTHER COMMODITIES,NA,C AFRI REP,NA,0.001924
OTHER COMMODITIES,NA,CHAD,NA,0.004635
OTHER COMMODITIES,NA,CONGO P REP,NA,1.747451
OTHER COMMODITIES,NA,GABON,NA,0.385672
OTHER COMMODITIES,NA,COTE D' IVOIRE,NA,1.864063
OTHER COMMODITIES,NA,MADAGASCAR,NA,0.68048
OTHER COMMODITIES,NA,MAURITANIA,NA,1.082959
OTHER COMMODITIES,NA,MAURITIUS,NA,3.189677
OTHER COMMODITIES,NA,NIGER,NA,0.202926
OTHER COMMODITIES,NA,RWANDA,NA,0.662748
OTHER COMMODITIES,NA,SENEGAL,NA,3.675454
OTHER COMMODITIES,NA,TOGO,NA,1.905975
OTHER COMMODITIES,NA,CONGO D. REP.,NA,1.177996
OTHER COMMODITIES,NA,ANGOLA,NA,0.642994
OTHER COMMODITIES,NA,BOTSWANA,NA,0.241659
OTHER COMMODITIES,NA,BURUNDI,NA,0.054557
OTHER COMMODITIES,NA,CAPE VERDE IS,NA,0.129066
OTHER COMMODITIES,NA,COMOROS,NA,0.092474
OTHER COMMODITIES,NA,DJIBOUTI,NA,0.495789
OTHER COMMODITIES,NA,ETHIOPIA,NA,3.845262
OTHER COMMODITIES,NA,ERITREA,NA,0.088391
OTHER COMMODITIES,NA,EQUTL GUINEA,NA,0.07923
OTHER COMMODITIES,NA,GAMBIA,NA,0.121039
OTHER COMMODITIES,NA,GHANA,NA,4.604121
OTHER COMMODITIES,NA,GUINEA,NA,1.737687
OTHER COMMODITIES,NA,GUINEA BISSAU,NA,0.116671
OTHER COMMODITIES,NA,LESOTHO,NA,0.000928
OTHER COMMODITIES,NA,LIBERIA,NA,0.512861
OTHER COMMODITIES,NA,MALAWI,NA,2.306195
OTHER COMMODITIES,NA,MALI,NA,1.003219
OTHER COMMODITIES,NA,MOZAMBIQUE,NA,1.089194
OTHER COMMODITIES,NA,NAMIBIA,NA,1.003473
OTHER COMMODITIES,NA,NIGERIA,NA,17.684824
OTHER COMMODITIES,NA,REUNION,NA,0.103463
OTHER COMMODITIES,NA,SAO TOME,NA,0.020617
OTHER COMMODITIES,NA,SEYCHELLES,NA,0.308286
OTHER COMMODITIES,NA,SIERRA LEONE,NA,0.130711
OTHER COMMODITIES,NA,SOMALIA,NA,0.184343
OTHER COMMODITIES,NA,SWAZILAND,NA,1.288622
OTHER COMMODITIES,NA,ZAMBIA,NA,2.616591
OTHER COMMODITIES,NA,ALGERIA,NA,4.215784
OTHER COMMODITIES,NA,EGYPT A RP,NA,11.7448
OTHER COMMODITIES,NA,LIBYA,NA,0.674032
OTHER COMMODITIES,NA,MOROCCO,NA,2.772827
OTHER COMMODITIES,NA,SOUTH AFRICA,NA,14.027932
OTHER COMMODITIES,NA,SUDAN,NA,5.556733
OTHER COMMODITIES,NA,SOUTH SUDAN,NA,0.026636
OTHER COMMODITIES,NA,TUNISIA,NA,1.252616
OTHER COMMODITIES,NA,ZIMBABWE,NA,1.219118
OTHER COMMODITIES,NA,CANADA,NA,28.027168
OTHER COMMODITIES,NA,U S A,NA,443.321409
OTHER COMMODITIES,NA,US MINOR OUTLYING ISLANDS,NA,0.490067
