COMMODITY,UNIT_CODE,COUNTRY,QTY,VALUE
OTHER COMMODITIES,NA,UNSPECIFIED,NA,371.280801
OTHER COMMODITIES,NA,KENYA,NA,18.251164
OTHER COMMODITIES,NA,TANZANIA REP,NA,21.8441
OTHER COMMODITIES,NA,UGANDA,NA,8.034605
OTHER COMMODITIES,NA,BENIN,NA,1.812666
OTHER COMMODITIES,NA,BURKINA FASO,NA,0.388851
OTHER COMMODITIES,NA,CAMEROON,NA,0.893831
OTHER COMMODITIES,NA,C AFRI REP,NA,0.520453
OTHER COMMODITIES,NA,CHAD,NA,0.008746
OTHER COMMODITIES,NA,CONGO P REP,NA,1.305564
OTHER COMMODITIES,NA,GABON,NA,0.189981
OTHER COMMODITIES,NA,COTE D' IVOIRE,NA,2.01026
OTHER COMMODITIES,NA,MADAGASCAR,NA,0.526392
OTHER COMMODITIES,NA,MAURITANIA,NA,0.179651
OTHER COMMODITIES,NA,MAURITIUS,NA,2.165936
OTHER COMMODITIES,NA,NIGER,NA,0.354779
OTHER COMMODITIES,NA,RWANDA,NA,0.694902
OTHER COMMODITIES,NA,SENEGAL,NA,0.583421
OTHER COMMODITIES,NA,TOGO,NA,1.846712
OTHER COMMODITIES,NA,CONGO D. REP.,NA,1.552282
OTHER COMMODITIES,NA,ANGOLA,NA,0.662927
OTHER COMMODITIES,NA,BOTSWANA,NA,0.050752
OTHER COMMODITIES,NA,BURUNDI,NA,2.860889
OTHER COMMODITIES,NA,CAPE VERDE IS,NA,0.127725
OTHER COMMODITIES,NA,COMOROS,NA,0.057967
OTHER COMMODITIES,NA,DJIBOUTI,NA,0.228736
OTHER COMMODITIES,NA,ETHIOPIA,NA,4.334386
OTHER COMMODITIES,NA,ERITREA,NA,0.046591
OTHER COMMODITIES,NA,EQUTL GUINEA,NA,0.016089
OTHER COMMODITIES,NA,GAMBIA,NA,0.113243
OTHER COMMODITIES,NA,GHANA,NA,26.957833
OTHER COMMODITIES,NA,GUINEA,NA,0.411008
OTHER COMMODITIES,NA,GUINEA BISSAU,NA,0.000003
OTHER COMMODITIES,NA,LESOTHO,NA,0.06313
OTHER COMMODITIES,NA,LIBERIA,NA,1.367514
OTHER COMMODITIES,NA,MALAWI,NA,19.440902
OTHER COMMODITIES,NA,MALI,NA,0.287403
OTHER COMMODITIES,NA,MOZAMBIQUE,NA,6.428245
OTHER COMMODITIES,NA,NAMIBIA,NA,0.338099
