COMMODITY,UNIT_CODE,COUNTRY,QTY,VALUE
OTHER COMMODITIES,NA,UNSPECIFIED,NA,159.558366
OTHER COMMODITIES,NA,KENYA,NA,16.088382
OTHER COMMODITIES,NA,TANZANIA REP,NA,13.96587
OTHER COMMODITIES,NA,UGANDA,NA,9.371726
OTHER COMMODITIES,NA,BENIN,NA,1.564994
OTHER COMMODITIES,NA,BURKINA FASO,NA,0.465861
OTHER COMMODITIES,NA,CAMEROON,NA,0.46598
OTHER COMMODITIES,NA,C AFRI REP,NA,0.173326
OTHER COMMODITIES,NA,CHAD,NA,0.141277
OTHER COMMODITIES,NA,CONGO P REP,NA,1.564975
OTHER COMMODITIES,NA,GABON,NA,0.252075
OTHER COMMODITIES,NA,COTE D' IVOIRE,NA,1.659592
OTHER COMMODITIES,NA,MADAGASCAR,NA,1.28042
OTHER COMMODITIES,NA,MAURITANIA,NA,0.640754
OTHER COMMODITIES,NA,MAURITIUS,NA,2.991896
OTHER COMMODITIES,NA,NIGER,NA,0.169576
OTHER COMMODITIES,NA,RWANDA,NA,0.701755
OTHER COMMODITIES,NA,SENEGAL,NA,1.39205
OTHER COMMODITIES,NA,TOGO,NA,16.12126
OTHER COMMODITIES,NA,CONGO D. REP.,NA,1.599476
OTHER COMMODITIES,NA,ANGOLA,NA,1.417316
OTHER COMMODITIES,NA,BOTSWANA,NA,0.154993
OTHER COMMODITIES,NA,BURUNDI,NA,0.914374
OTHER COMMODITIES,NA,CAPE VERDE IS,NA,0.103293
OTHER COMMODITIES,NA,COMOROS,NA,0.066765
OTHER COMMODITIES,NA,DJIBOUTI,NA,0.364686
OTHER COMMODITIES,NA,ETHIOPIA,NA,4.442303
OTHER COMMODITIES,NA,ERITREA,NA,0.151146
OTHER COMMODITIES,NA,EQUTL GUINEA,NA,0.284644
OTHER COMMODITIES,NA,GAMBIA,NA,0.200921
OTHER COMMODITIES,NA,GHANA,NA,4.541668
OTHER COMMODITIES,NA,GUINEA,NA,0.574668
OTHER COMMODITIES,NA,GUINEA BISSAU,NA,0.2836
OTHER COMMODITIES,NA,LESOTHO,NA,0.000005
OTHER COMMODITIES,NA,LIBERIA,NA,0.944649
OTHER COMMODITIES,NA,MALAWI,NA,0.916923
OTHER COMMODITIES,NA,MALI,NA,1.362197
OTHER COMMODITIES,NA,MOZAMBIQUE,NA,2.117756
OTHER COMMODITIES,NA,NAMIBIA,NA,0.044549
OTHER COMMODITIES,NA,NIGERIA,NA,25.88265
OTHER COMMODITIES,NA,REUNION,NA,0.257027
OTHER COMMODITIES,NA,SAO TOME,NA,0.009886
OTHER COMMODITIES,NA,SEYCHELLES,NA,0.447013
OTHER COMMODITIES,NA,SIERRA LEONE,NA,0.04671
OTHER COMMODITIES,NA,SOMALIA,NA,0.171017
OTHER COMMODITIES,NA,SWAZILAND,NA,1.53043
OTHER COMMODITIES,NA,ZAMBIA,NA,5.49204
OTHER COMMODITIES,NA,ALGERIA,NA,4.147934
OTHER COMMODITIES,NA,EGYPT A RP,NA,12.291798
OTHER COMMODITIES,NA,LIBYA,NA,0.242081
OTHER COMMODITIES,NA,MOROCCO,NA,3.002324
OTHER COMMODITIES,NA,SOUTH AFRICA,NA,11.562181
OTHER COMMODITIES,NA,SUDAN,NA,8.046072
OTHER COMMODITIES,NA,TUNISIA,NA,2.20323
OTHER COMMODITIES,NA,ZIMBABWE,NA,0.683984
OTHER COMMODITIES,NA,CANADA,NA,16.955129
OTHER COMMODITIES,NA,U S A,NA,459.122222
OTHER COMMODITIES,NA,ARGENTINA,NA,2.927664
OTHER COMMODITIES,NA,BOLIVIA,NA,0.055636
OTHER COMMODITIES,NA,BRAZIL,NA,17.118662
OTHER COMMODITIES,NA,CHILE,NA,3.066998
OTHER COMMODITIES,NA,COLOMBIA,NA,1.359107
OTHER COMMODITIES,NA,ECUADOR,NA,0.190954
OTHER COMMODITIES,NA,PARAGUAY,NA,0.065907
OTHER COMMODITIES,NA,PERU,NA,3.273574
OTHER COMMODITIES,NA,URUGUAY,NA,0.466139
OTHER COMMODITIES,NA,VENEZUELA,NA,0.49858
OTHER COMMODITIES,NA,ANGUILLA,NA,0.000282
OTHER COMMODITIES,NA,ANTIGUA,NA,0.001976
OTHER COMMODITIES,NA,ARUBA,NA,0.044135
OTHER COMMODITIES,NA,BAHAMAS,NA,0.017462
OTHER COMMODITIES,NA,BARBADOS,NA,0.04193
OTHER COMMODITIES,NA,BELIZE,NA,0.000001
OTHER COMMODITIES,NA,DOMINICA,NA,0.03766
OTHER COMMODITIES,NA,GRENADA,NA,0.005153
OTHER COMMODITIES,NA,GUYANA,NA,0.445868
OTHER COMMODITIES,NA,JAMAICA,NA,0.271895
OTHER COMMODITIES,NA,MONTSERRAT,NA,0.00003
OTHER COMMODITIES,NA,ST KITT N A,NA,0.036399
OTHER COMMODITIES,NA,ST LUCIA,NA,0.006484
OTHER COMMODITIES,NA,ST VINCENT,NA,0.002955
OTHER COMMODITIES,NA,TRINIDAD,NA,0.519643
OTHER COMMODITIES,NA,COSTA RICA,NA,0.800919
OTHER COMMODITIES,NA,EL SALVADOR,NA,1.041493
OTHER COMMODITIES,NA,GUATEMALA,NA,0.869081
OTHER COMMODITIES,NA,HONDURAS,NA,1.548433
OTHER COMMODITIES,NA,NICARAGUA,NA,0.317867
OTHER COMMODITIES,NA,AMERI SAMOA,NA,0.018843
OTHER COMMODITIES,NA,BERMUDA,NA,0.000045
OTHER COMMODITIES,NA,BR VIRGN IS,NA,0.000559
OTHER COMMODITIES,NA,CAYMAN IS,NA,0.000592
OTHER COMMODITIES,NA,CUBA,NA,0.007253
OTHER COMMODITIES,NA,DOMINIC REP,NA,1.585038
OTHER COMMODITIES,NA,GUADELOUPE,NA,0.011631
OTHER COMMODITIES,NA,HAITI,NA,2.314091
OTHER COMMODITIES,NA,MARTINIQUE,NA,0.011178
OTHER COMMODITIES,NA,MEXICO,NA,12.405282
OTHER COMMODITIES,NA,NETHERLANDANTIL,NA,0.185662
OTHER COMMODITIES,NA,PANAMA REPUBLIC,NA,0.771793
OTHER COMMODITIES,NA,PUERTO RICO,NA,0.016623
OTHER COMMODITIES,NA,SURINAME,NA,0.020803
OTHER COMMODITIES,NA,TURKS C IS,NA,0.000017
OTHER COMMODITIES,NA,VIRGIN IS US,NA,0.017572
OTHER COMMODITIES,NA,AFGHANISTAN,NA,0.645007
OTHER COMMODITIES,NA,AUSTRALIA,NA,24.096469
OTHER COMMODITIES,NA,BANGLADESH PR,NA,346.239028
OTHER COMMODITIES,NA,BHUTAN,NA,47.427839
OTHER COMMODITIES,NA,BRUNEI,NA,0.264976
OTHER COMMODITIES,NA,CAMBODIA,NA,0.068047
OTHER COMMODITIES,NA,CHINA P RP,NA,84.934592
OTHER COMMODITIES,NA,COOK IS,NA,0.000748
OTHER COMMODITIES,NA,FIJI IS,NA,0.377715
OTHER COMMODITIES,NA,HONG KONG,NA,16.219894
OTHER COMMODITIES,NA,INDONESIA,NA,38.772037
OTHER COMMODITIES,NA,IRAN,NA,140.799204
OTHER COMMODITIES,NA,JAPAN,NA,179.774064
OTHER COMMODITIES,NA,KIRIBATI REP,NA,0.007996
OTHER COMMODITIES,NA,KOREA RP,NA,52.914589
OTHER COMMODITIES,NA,LAO PD RP,NA,3.722391
OTHER COMMODITIES,NA,MALAYSIA,NA,32.595409
